k,Good points,Perimeter,circle perimeter,Naive perimeter,Configs computed,Max angle of sol,Longest edge len,Running time in seconds
2775,1400,185.44077127966355,185.71211796747585,186.7396006605099,647834,0.24497866312686423,11,0.643163828
2776,1395,185.47994331421427,185.74673625025656,186.77324440470875,643967,0.3217505543966423,12,0.64718464
2777,1397,185.51456159699495,185.78135453303724,186.80688208970093,644116,0.24497866312686423,11,0.661491416
2778,1397,185.54512654720543,185.81597281581793,186.840513718759,644804,0.24497866312686423,11,0.650263439
2779,1399,185.58429858175614,185.8505910985986,186.8741392951527,644784,0.3217505543966423,12,0.631143645
2780,1400,185.61891686453686,185.86168042353887,186.90775882214868,646042,0.24497866312686423,12,0.645849213
2781,1399,185.65808889908757,185.8727697484791,186.94137230301072,645603,0.3217505543966423,12,0.648481936
2782,1400,185.69270718186826,185.88385907341936,186.97497974099963,646844,0.24497866312686423,11,0.625068951
2783,1401,185.72327213207873,185.8949483983596,187.00858113937332,648152,0.24497866312686423,11,0.651775775
2784,1401,185.75053570306085,185.9295666811403,187.0421765013868,647845,0.24497866312686423,10,0.644310268
2785,1401,185.77462181508574,185.96418496392099,187.0757658302921,647699,0.24497866312686423,10,0.65006579
2786,1402,185.81379384963645,186.0033569984717,187.10934912933843,648920,0.3217505543966423,11,0.624673023
2787,1403,185.84841213241717,186.04252903302242,187.14292640177192,650151,0.24497866312686423,11,0.639114522
2788,1402,185.88758416696788,186.0622938708595,187.1764976508359,649923,0.3217505543966423,12,0.652712412
2789,1401,185.92220244974857,186.0820587086966,187.2100628797708,649840,0.24497866312686423,11,0.648353291
